parameter,name,type,uncertainty_range,units,notes
EPR_products,EPR fee applies to products (not only granulates),Categorical,True; False,-,
EPR_fee,EPR fee level,Categorical,100; 200; 300; 400; 500,EUR/tpl,
baseline_granulates,Baseline plastic granulate production,Real,1200000 - 1300000,t/yr,
inc_granulates,Granulate production increase (relative),Real,0 - 0.3,-,
shift_granulates,Granulate production shift (relative),Real,0 - 0.4,-,
price_granulates,Granulate market price,Real,11000 - 15000,EUR/t,
baseline_products,Baseline plastic products production,Real,700000 - 884393,t/yr,
inc_products,Products production increase (relative),Real,0 - 0.3,-,
shift_products,Products production shift (relative),Real,0 - 0.4,-,
stringent_products,Stringency of products target (relative),Real,0 - 1,-,
price_products,Products market price,Real,36000 - 56000,EUR/t,
COP,Coefficient of performance (heat pump),Real,2.5 - 3.5,-,
eta_electrolyzer,Electrolyzer efficiency,Real,0.675 - 0.725,-,
q_reb,Reboiler specific duty,Real,2.7 - 3.7,MJ/kgCO2,
q_hex,Heat exchanger duty,Real,0.62 - 0.66,MWth/MWreb,
p_capture,Capture electricity intensity,Real,0.08 - 0.12,MWh/tCO2,
p_condition,Conditioning electricity intensity,Real,0.3 - 0.45,MJ/kgCO2,
heat_optimism,Electrolyzer waste heat recovery optimism,Real,0 - 1,-,
gasified_carbon_fraction,Fraction of carbon routed to gasifier,Real,0.65 - 0.75,-,
frac_combustor_pl,Plastic share of combustor carbon,Real,0.15 - 0.35,-,
frac_energy,Share of gasified fuel energy to methanol,Real,0.55 - 0.65,-,
celc,Electricity price,Real,30 - 70,EUR/MWh,
cheat,Heat price (fraction of electricity price),Real,0.5 - 0.95,-,
pmethanol,Methanol market price,Real,550 - 850,EUR/t,
CRC,CRC carbon price,Real,50 - 250,EUR/tCO2,
ETS,ETS carbon price,Real,50 - 250,EUR/tCO2,
camine,Amine makeup cost,Real,40 - 50,SEK/tCO2,
shipping_case,CO2 shipping cost scenario,Categorical,optimist_0.5Mt; pessimist_0.5Mt; optimist_1Mt; pessimist_1Mt,-,
storage,CO2 storage site,Categorical,oygarden; kalundborg,-,
storage_cost,CO2 storage cost,Real,5 - 58,EUR/tCO2,
transport_cost_factor,Transport cost multiplier (CCS and replacement haul),Real,0.8 - 1.2,-,
cost_correlation_truck,Truck transport cost correlation term,Real,0.1 - 0.2,EUR/(t·km),
cost_correlation_pipeline,Pipeline transport cost correlation term,Real,0.01 - 0.03,EUR/(t·km),
k,CAPEX scaling exponent,Real,0.62 - 0.72,-,
dr,Discount rate,Real,0.06 - 0.09,-,
t,Project lifetime,Real,20 - 30,yr,
capex_ref_hp_keur_per_mwth,Reference heat pump CAPEX,Real,800 - 920,kEUR/MWth,
capex_ref_h2_keur_per_mwel,Reference electrolyzer CAPEX,Real,410 - 690,kEUR/MWel,
capex_ref_train_eur,Reference methanol train CAPEX (15 wagons x 60 t),Real,8000000 - 9000000,EUR,
capex_ref_synthesis_meur,Reference methanol synthesis CAPEX,Real,1.6 - 2,MEUR,
opex_var_sorting_sek_per_t_waste,Variable sorting OPEX,Real,190 - 210,SEK/t waste,
opex_var_gasification_eur_per_mwh_fuel,Variable gasification OPEX,Real,1.35 - 1.45,EUR/MWh fuel,
opex_fix,Fixed OPEX as fraction of overnight CAPEX,Real,0.03 - 0.05,-,
