parameter,name,value,units,notes
plot_results,Plot diagnostic outputs,False,-,
n_replacement_cases,Number of replacement cases evaluated,10,count,
plants_df,CHP plant inventory dataset,External dataset,-,
shipping_costs,CO2 shipping cost matrix,External dataset,-,
compression_costs,CO2 compression cost data,External dataset,-,
thermo_props,CoolProp thermodynamic property data,External dataset,-,
SEK_to_EUR,SEK to EUR exchange rate,0.091,EUR/SEK,
profit,Profit markup fraction,0.1,-,
CPI2015,Consumer price index (2015),314.21,-,
CPI2025,Consumer price index (2025),417.96,-,
eta_boiler,Boiler efficiency,0.85,-,
capture_rate,CO2 capture rate,0.9,-,
eta_is,Isentropic efficiency,0.8,-,
FLH_gasifier,Gasifier full load hours,8000,h/yr,
LHV_H2_MJ_PER_KMOL,Lower heating value of hydrogen,243,MJ/kmol,
LHV_CO_MJ_PER_KMOL,Lower heating value of carbon monoxide,286,MJ/kmol,
LHV_CH3OH,Lower heating value of methanol,21.1,MJ/kg,
recycle_ratio,Gasifier recycle ratio,3,-,
capex_ref_capture_keur,Reference capture CAPEX,336700,kEUR,
capacity_ref_capture_kt_per_yr,Reference capture capacity,400,ktCO2/yr,
capex_ref_loading_sek,Reference CO2 loading CAPEX,63000000,SEK,
capacity_ref_loading_kt_per_yr,Reference CO2 loading capacity,150,ktCO2/yr,
capex_ref_sorting_msek,Reference waste sorting CAPEX,650,MSEK,
capacity_ref_sorting_t_waste_per_yr,Reference sorting capacity,200000,t waste/yr,
capex_ref_gasification_meur,Reference gasification CAPEX,749.729639,MEUR,
capacity_ref_gasification_t_methanol_per_yr,Reference gasification capacity,237000,t methanol/yr,
ADJUST_CEPCI,Apply CEPCI escalation to overnight CAPEX,True,-,
CEPCI_target,Target CEPCI for cost evaluation,900,-,
CEPCI_reference,General CEPCI reference,600,-,
CEPCI_capture_reference,Capture CAPEX CEPCI reference,900,-,
CEPCI_HP_reference,Heat pump CAPEX CEPCI reference,816,-,
CEPCI_sorting_ref,Sorting CAPEX CEPCI reference,900,-,
CEPCI_opex_sorting_ref,Sorting OPEX CEPCI reference,816,-,
CEPCI_gasification_ref,Gasification CAPEX CEPCI reference,600,-,
CEPCI_opex_gasification_ref,Gasification OPEX CEPCI reference,900,-,
CEPCI_h2_ref,Electrolyzer CAPEX CEPCI reference,900,-,
